data
atena-[(mu-oxalato)-(mu-norbornadiene)-di-(i)]
atena-(tetrakis(mu!-isonicoato)-di-)
atena-[tris(Dimethylammonium)
"atena-((mu!-1,2-bis(4-pyridyl)ethane)-(mu!-5-hydroxyisophthalato)-(ii))"
"atena-[(mu!-1,2-bis(pyridin-4-yl)ethene)-(mu!-5-hydroxyisophthalato)-(ii)"
atena-(oxonium
atena-(dimethylammonium
"atena-[(mu!-Pyridine-3,5-dicarboxylato)-aqua-(ii)]"
"atena-((mu!-3,3'-(1,4-Phenylene)bis(acrylato))-diaqua-)"
"atena-[bis(mu-3-(3,5-dicarboxylatophenoxy)phthalato)-(mu-1,1'-(1,4-phenylene)bis(1H-imidazole))-tetraaqua-tetra-]"
"atena-(bis(mu!-1,4-Benzenedicarboxylate)-(mu!-1,4-benzenedicarboxylate)-bis(mu!-hydroxo)-tetrakis(dimethyl"
"atena-(bis(mu!-Pyrazole-3,5-dicarboxylato)-bis(mu!-nitrato-O,O,O')-tetra-aqua-tri-(ii))"
"atena-(bis(mu!-N-(2-Hydroxybenzyl)-L-alaninato-N,O,O')-bis(mu!-4,4'-bipyridine-N,N')-di-(ii)"
"atena-[bis(mu!-Glutarato)-(mu!-1,2-bis(4-pyridyl)ethane)-"
atena-[hexakis(mu-5-fluoronicoato)-triaqua-tri-(ii)
"atena-[bis(mu!-5,5'-(1H-1,2,3-Triazole-1,4-diyl)diisophthalato)-octaaqua-di-"
atena(bis(mu!-bis(2-Pyridine)carboxylato)-octakis(mu!-acetato)-hexa-(ii))
"atena-[heptakis(mu-2-methylimidazolyl-4,5-dicarboxylato)-bis(mu-4,4'-bipyridine)-hepta-aqua-tri--hexa-"
atena-[bis(mu-isonicoato)-(ii)
atena-[(mu!-4-Iodylbenzenesulfonato)-]
atena(Aqua-(mu!-5'-cytidine-monophosphate)-(ii)
"atena-[(mu-4,4'-bipyrazolato)-]"
atena-[(mu!-Hydrogen
"atena-[(mu!-2-Aminoterephthalato)-(mu!-1,1'-biphenyl-4,4'-diylbis(1H-imidazole))-(ii)"
"atena-[(mu!1-bis(2,2,2-tris((4-Carboxylatophenoxy)methyl)ethyl)"
atena-((mu!-L-Tartrato)-(ii))
atena-(tetrakis(mu!-glutarato)-bis(mu!-oxalato)-diaqua-tetra-)
"atena-[bis(mu!-3-Carboxy-5-(4H-1,2,4-triazol-4-yl)benzoato)-tetrakis(mu!-oxo)-pentakis(mu!-oxo)-tetra-oxo-di-(ii)-tetra-(vi)"
"atena-[bis(2!,2!:6!,2!-terpyridine)-(ii)"
atena-(bis(mu!-chloro)-(mu!-et2!-acrylonitrile)-di-(i))
atena-((mu!-nicoato)-(mu!-nictoato)-(ii))
atena-((mu!-Nicoato)-(mu!-nicoato)-)
"atena-[octakis(mu!-4,4',4''-s-Triazine-2,4,6-triyltribenzoato)-dodecaaqua-dodeca-"
atena-[bis(mu!-3-sulfonato-L-alaninato)-di--]
"atena-[bis(mu-aqua)-bis(mu-3,5-dimethylpyrazolato-4-sulfonato)-di-(i)-di-]"
