data
[]
"['unknown', 'solvate]']"
[]
"['ethanol', 'clathrate']"
[]
[]
[]
[]
['dihydrate]']
[]
['monohydrate)']
[]
[]
"['1,2-bis(pyridin-4-yl)ethene', 'solvate]']"
['monohydrate)']
['dihydrate)']
"['N,N-dimethylformamide', 'unknown', 'solvate]']"
"['unknown', 'solvate]']"
['dihydrate)']
[]
['di-iodine)']
['di-iodine)']
"['dimethyl', 'sulfoxide', 'solvate)']"
"['dimethyl', 'sulfoxide', 'solvate', 'undecahydrate)']"
"['dimethyl', 'sulfoxide', 'solvate)']"
"['(mu-phosphato)-tetracosakis(mu-oxo)-dodecaoxo-dodeca-tungsten', 'dimethylformamide', 'solvate', 'hexahydrate)']"
['pentahydrate)']
"['dimethylformamide', 'solvate', 'hydrate)']"
['pentahydrate)']
['pentahydrate)']
['pentahydrate)']
['pentahydrate)']
['pentahydrate)']
['pentahydrate)']
['dihydrate)']
['dodecahydrate]']
['dodecahydrate]']
['dodecahydrate]']
['dodecahydrate]']
[]
[]
['heptahydrate)']
[]
[]
[]
"['unknown', 'solvate', 'dihydrate]']"
[]
[]
[]
"['ethanol', 'solvate', 'pentahydrate]']"
[]
"['sulfoxide)-tetrazinc', 'dihydrate)']"
[]
[]
[]
"['acetone', 'solvate]']"
['trihydrate]']
[]
['pentahydrate]']
['monohydrate]']
['dihydrate]']
['dihydrate]']
['nitrate)']
[]
['sesquihydrate)']
"['nitrate', 'unknown', 'solvate', 'hydrate]']"
"['nitrate', 'unknown', 'solvate', 'hydrate]']"
['sesquihydrate]']
[]
['monohydrate)']
"['N,N-dimethylformamide', 'solvate]']"
[]
['octahydrate)']
['pentahydrate]']
['pentahydrate]']
[]
['sesquihydrate)']
['tetrahydrate)']
[]
"['N,N-dimethylformamide', 'solvate', 'trihydrate]']"
[]
"['N,N-dimethylformamide', 'solvate', 'dihydrate]']"
['monohydrate]']
['monohydrate]']
"['dimethyl', 'sulfoxide', 'solvate)']"
['hydrate]']
"['N,N-dimethylformamide', 'solvate]']"
"['N,N-dimethylacetamide', 'solvate', 'trihydrate]']"
[]
[]
['dihydrate]']
['heptakis(mu-cyano)-(mu-thiocyanato)-hexa-copper(i)]']
[]
[]
[]
[]
"['dodecakis(dimethylsulfoxide)', 'hydrate', 'clathrate]']"
"[""acid-O,O',O'')-potassium)""]"
[]
['dihydrate)']
[]
[]
[]
[]
"['N,N-dimethylformamide', 'solvate', 'hydrate]']"
['tetrahydrate]']
['tetrahydrate)']
['trihydrate]']
[]
[]
[]
"['unknown', 'solvate]']"
"['bis(2-methyl-4-phenylbut-3-yn-2-ol)', 'dichloromethane', 'solvate]']"
[]
[]
"['carbon', 'dioxide)']"
"['carbon', 'dioxide)']"
['trihydrate)']
[]
[]
[]
[]
[]
"['tetrafluoroborate', 'acetonitrile', 'dichloromethane', 'solvate', 'monohydrate)']"
"['terephthalic', 'acid', 'methanol', 'solvate)']"
"['N,N-dimethylformamide', 'solvate)']"
['hydrate]']
"['N,N-dimethylformamide', '1,4-dioxane', 'solvate', 'hexahydrate]']"
[]
[]
[]
['monohydrate]']
[]
"['toluene', 'solvate]']"
['nitrate)']
"['1-oxide)-(mu-formato)-aqua-lanthanum(iii)', 'monohydrate]']"
"['1-oxide)-(mu-oxalato)-diaqua-yttrium(iii)', 'monohydrate]']"
"['nitrate', 'nonahydrate)']"
"['acetonitrile', 'solvate)']"
"['methanol', 'solvate)']"
"['chloride', ""4,4'-bipyridine"", 'hydrate)']"
['fluoride)']
"['bromide', ""4,4'-bipyridine"", 'hydrate)']"
['bromide)']
"['N,N-dimethylformamide', 'solvate)']"
"['N,N-dimethylformamide', 'solvate)']"
[]
"['N,N-dimethylformamide', 'solvate)']"
['dihydrate]']
"['N,N-dimethylformamide', 'solvate]']"
