Linker 1,Linker 2,Linker 3,Linker 4,Linker 5,Linker 6
"2-(phenyl)imidazo[4,5-f][1,10]phenanthrolin-1-yl",,,,,
"5,5'-oxybis(benzene-1,3-dicarboxylate))-tetrakis(aqu",,,,,
bis(2-Pyridine)carboxylate,acetate,,,,
"1,3,5-Benzenetricarboxylate",hydroxo)-diaqua-(dimethylformamid,,,,
isonicoate,,,,,
pyrocarbonate,,,,,
"benzene-1,4-dicarboxylate",hydroxo,,,,
"1-[(3,5-dicarboxylatephenyl)methyl]-4-(pyridin-4-yl)pyridin-1-ium","(2S,3S)-2,3-dihydroxybutanedioat",,,,
"1-[(3,5-dicarboxylatephenyl)methyl]-4-(pyridin-4-yl)pyridin-1-ium","(2R,2R)-2,3-dihydroxybutanedioat",,,,
4-Iodylbenzenesulfonate,,,,,
5'-cytidine-monophosphate,,,,,
"benzene-1,4-dicarboxylate",hydroxo,,,,
"4,4'-bipyrazolate",,,,,
"Hydrogen4,4',4''-phosphoryltribenzoate",,,,,
"1H,1'H-4,4'-bipyrazole",formate,,,,
"4,4',4''-phosphoryltribenzoate","formate-O,O'",,,,
"5-[4-([4,2:6,4-terpyridin]-4-yl)phenoxy]benzene-1,3-dicarboxylate",formate,hydroxo,,,
"5-[4-([4,2:6,4-terpyridin]-4-yl)phenoxy]benzene-1,3-dicarboxylate",formate,hydroxo,,,
"N,N',N'',N'''-tetra(pyridin-4-yl)-1,4,7,10-tetraazacyclododecane-1,4,7,10-tetracarboxamid",,,,,
2-Aminoterephthalate,"1,1'-biphenyl-4,4'-diylbis(1H-imidazole)",,,,
2-Aminoterephthalate,"1,1'-(1,4-phenylenebis",,,,
"u1-bis(2,2,2-tris((4-Carboxylatephenoxy)methyl)ethyl)ether","1,1'-(1,4-phenylene)bis(1H-imidazole)",,,,
L-Tartrate,,,,,
glutarate,oxalate,,,,
"3-Carboxy-5-(4H-1,2,4-triazol-4-yl)benzoate",oxo,oxo)-tetra-oxo-di-(i,,,
,,,,,
chloro,et2-acrylonitrile,,,,
chloro,et2-acrylonitrile,chloro,,,
nicoate,nictoate,,,,
Nicoate,nicoate,,,,
"4,4',4''-s-Triazine-2,4,6-triyltribenzoate",,,,,
"Uracil-5-carboxylate-O,O',O'',O'''",uracil-5-carboxylic,,,,
3-sulfonate-L-alaninate,,,,,
Hydrogenbis(uracil-5-carboxylate),,,,,
"Uracil-5-carboxylate-O,O,O,O',O',O',O''",aqua,,,,
Hydrogenbis(uracil-5-carboxylate),,,,,
"5-sulfobenzene-1,3-dicarboxylate",hydroxo,aqua,,,
aqua,"3,5-dimethylpyrazolate-4-sulfonate)-di-(",,,,
"5-(4-(4,2':6',4''-terpyridin-4'-yl)phenoxy)isophthalate",,,,,
2-methoxy-6-[(2-{4-[(pyridine-4-carbonyl)amino]benzoyl}hydrazinylidene)methyl]phenolate,"terephthalate)-bis(N,N-dimethylacetamid",,,,
2-Sulfonylterephthalate,"1,4-diazabicyclo(2.2.2)octane)-diaqua-di-(i",,,,
azido,"1,1'-bis(3,5-dicarboxylatebenzyl)-4,4'-bipyridiniu",,,,
azido,"1,1'-bis(3,5-dicarboxylatebenzyl)-4,4'-bipyridiniu",,,,
"4,5-imidazoledicarboxylate",,,,,
"4,5-dicarboxylateimidazolate",,,,,
"4,4',4'',4'''-(ethene-1,1,2,2-tetrayl)tetrabenzoate",,,,,
"4,4',4'',4'''-(ethene-1,1,2,2-tetrayl)tetrabenzoate",,,,,
tetrazole-5-carboxylate,"4,4'-propane-1,3-diyldipyridine",,,,
tetrazole-5-carboxylate,"4,4'-propane-1,3-diyldipyridine",,,,
tetrazole-5-carboxylate,"4,4'-propane-1,3-diyldipyridine",,,,
tetrazole-5-carboxylate,"4,4'-propane-1,3-diyldipyridine",,,,
tetrazole-5-carboxylate,"4,4'-propane-1,3-diyldipyridine",,,,
"2,2',7,7'-tetrakis(4-carboxylatephenyl)-9,9'-Spirobi[fluorene",oxo,,,,
"u1-5,5',5''-(Benzene-1,3,5-triyltris",,,,,
"u1-5,5',5''-(1,3,5-benzenetriyltris",,,,,
"u1-5,5',5''-(Benzene-1,3,5-triyltris",,,,,
"5'-(4-(1H-tetrazol-5-yl)benzamido)benzene-1,3-dioate",oxo,,,,
tris(4-(1-(2-pyridin-2-ylhydrazono)ethyl)-phenyl)amin,,,,,
terephthalate,"4,4'-bipyridine1,1'-dioxide",,,,
terephthalate,"4,4'-bipyridine1,1'-dioxide",,,,
"4-(3-(pyridin-4-yloxy)-2,2-bis((pyridin-4-yloxy)methyl)propoxy)pyridin","naphthalene-2,6-dicarboxylate",,,,
"triphenylene-2,6,10-tricarboxylate",,,,,
"Benzene-1,4-dicarboxylate","benzene-1,4-dicarboxylate)-diaqua-bis(N,N-dimethylformamid",,,,
"terephthalate)-diaqua-bis(N,N-dimethylformamid",,,,,
"cyclohexane-1,4-dicarboxylate","1,1'-(1,4-phenylene)bis(1H-imidazole)",,,,
pyridine-4-carboxylate,iodo)-(pyridine-4-carboxylat,,,,
(tetrazoldiyl)acetate,hydroxo,,,,
isonicoate,iodo)-diaqua-penta-(,,,,
,,,,,
"4-(4,5-dicarboxylate-1H-imidazol-2-yl)pyridine",,,,,
"4-(4,5-dicarboxylate-1H-imidazol-2-yl)pyridine",,,,,
