code,raw linkers,Linker 1,Linker 2,Linker 3,Linker 4,Linker 5,Linker 6,Linker 7,Linker 8,metals,solvents
ABAFUH,catena-[(mu-oxalato)-(mu-norbornadiene)-di-copper(i)],oxalate,norbornadiene,,,,,,,copper,[]
ABAVIJ,catena-(tetrakis(mu!3$-isonicotinato)-di-cobalt) ethanol clathrate,isonicoate,,,,,,,,cobalt,"['ethanol', 'clathrate']"
ABAYIO,"catena-[tris(Dimethylammonium) bis(mu-benzene-1,3,5-tricarboxylato)-trichloro-tri-manganese(ii) dihydrate]","benzene-1,3,5-tricarboxylate",,,,,,,,tin,['dihydrate]']
ABAYUY,"catena-((mu!2$-1,2-bis(4-pyridyl)ethane)-(mu!2$-5-hydroxyisophthalato)-zinc(ii))","1,2-bis(4-pyridyl)ethane",5-hydroxyisophthalate,,,,,,,manganese,[]
ABAZAF01,"catena-[(mu!2$-1,2-bis(pyridin-4-yl)ethene)-(mu!2$-5-hydroxyisophthalato)-zinc(ii) 1,2-bis(pyridin-4-yl)ethene solvate]","1,2-bis(pyridin-4-yl)ethene",5-hydroxyisophthalate,,,,,,,zinc,"['1,2-bis(pyridin-4-yl)ethene', 'solvate]']"
ABEFUL,"catena-(oxonium (5,10,15,20-tetrakis(4-sulfonatophenyl)porphyin)-terbium dihydrate)",,,,,,,,,zinc,['dihydrate)']
ABEXEN,"catena-(dimethylammonium (mu-biphenyl-4,4'-dicarboxylato)-(mu-thiophene-2,5-dicarboxylato)-indium dimethylformamide solvate hydrate)","biphenyl-4,4'-dicarboxylate","thiophene-2,5-dicarboxylate",,,,,,,terbium,"['dimethylformamide', 'solvate', 'hydrate)']"
ABIWOX,"catena-[(mu!4$-Pyridine-3,5-dicarboxylato)-aqua-cobalt(ii)]","Pyridine-3,5-dicarboxylate",,,,,,,,indium,[]
ABUFOU,"catena-((mu!2$-3,3'-(1,4-Phenylene)bis(acrylato))-diaqua-manganese)","3,3'-(1,4-Phenylene)bis(acrylate)",,,,,,,,cobalt,[]
ABUGUC,"catena-[bis(mu-3-(3,5-dicarboxylatophenoxy)phthalato)-(mu-1,1'-(1,4-phenylene)bis(1H-imidazole))-tetraaqua-tetra-manganese]","3-(3,5-dicarboxylatephenoxy)phthalate","1,1'-(1,4-phenylene)bis(1H-imidazole)",,,,,,,manganese,[]
ABUWOJ,"catena-(bis(mu!4$-1,4-Benzenedicarboxylate)-(mu!2$-1,4-benzenedicarboxylate)-bis(mu!3$-hydroxo)-tetrakis(dimethyl sulfoxide)-tetrazinc dihydrate)","1,4-Benzenedicarboxylate","1,4-benzenedicarboxylate",hydroxo,,,,,,manganese,"['sulfoxide)-tetrazinc', 'dihydrate)']"
ABUXAX,"catena-(bis(mu!6$-Pyrazole-3,5-dicarboxylato)-bis(mu!2$-nitrato-O,O,O')-tetra-aqua-tri-lead(ii))","Pyrazole-3,5-dicarboxylate","nitrate-O,O,O'",,,,,,,lead,[]
ACABEM,"catena-(bis(mu!2$-N-(2-Hydroxybenzyl)-L-alaninato-N,O,O')-bis(mu!2$-4,4'-bipyridine-N,N')-di-copper(ii) hydrate)","N-(2-Hydroxybenzyl)-L-alaninate-N,O,O","4,4'-bipyridine-N,N'",,,,,,,copper,['hydrate)']
ACAJIZ,"catena-[bis(mu!4$-Glutarato)-(mu!2$-1,2-bis(4-pyridyl)ethane)-copper acetonitrile solvate]",Glutarate,"1,2-bis(4-pyridyl)ethane",,,,,,,copper,"['acetonitrile', 'solvate]']"
ACAJOG,catena-[hexakis(mu-5-fluoronicotinato)-triaqua-tri-copper(ii) trihydrate],5-fluoronicoate,,,,,,,,copper,['trihydrate]']
ACAKUM,"catena-[bis(mu!4$-5,5'-(1H-1,2,3-Triazole-1,4-diyl)diisophthalato)-octaaqua-di-lanthanum pentahydrate]","5,5'-(1H-1,2,3-Triazole-1,4-diyl)diisophthalate",,,,,,,,tin,['pentahydrate]']
ACENIF,catena(bis(mu!3$-bis(2-Pyridine)carboxylato)-octakis(mu!2$-acetato)-hexa-zinc(ii)),bis(2-Pyridine)carboxylate,acetate,,,,,,,lanthanum,[]
ACEPUW,"catena-[heptakis(mu-2-methylimidazolyl-4,5-dicarboxylato)-bis(mu-4,4'-bipyridine)-hepta-aqua-tri-neodymium-hexa-zinc N,N-dimethylformamide solvate]","2-methylimidazolyl-4,5-dicarboxylate","4,4'-bipyridine",,,,,,,zinc,"['N,N-dimethylformamide', 'solvate]']"
ACICOH,"catena-[bis(mu-isonicotinato)-nickel(ii) N,N-dimethylformamide solvate]",isonicoate,,,,,,,,zinc,"['N,N-dimethylformamide', 'solvate]']"
ACIZIX,catena-[(mu!7$-4-Iodylbenzenesulfonato)-potassium],4-Iodylbenzenesulfonate,,,,,,,,neodymium,[]
ACMPCD,catena(Aqua-(mu!5$-5'-cytidine-monophosphate)-cadmium(ii) sesquihydrate),5'-cytidine-monophosphate,,,,,,,,nickel,['sesquihydrate)']
ACODAA,"catena-[(mu-4,4'-bipyrazolato)-iron]","4,4'-bipyrazolate",,,,,,,,tin,[]
ACODED,"catena-[(mu!5$-Hydrogen 4,4',4''-phosphoryltribenzoato)-copper(ii) N,N-dimethylformamide solvate trihydrate]","Hydrogen4,4',4''-phosphoryltribenzoate",,,,,,,,potassium,"['N,N-dimethylformamide', 'solvate', 'trihydrate]']"
ACOLEL,"catena-[(mu!2$-2-Aminoterephthalato)-(mu!2$-1,1'-biphenyl-4,4'-diylbis(1H-imidazole))-manganese(ii) hydrate]",2-Aminoterephthalate,"1,1'-biphenyl-4,4'-diylbis(1H-imidazole)",,,,,,,cadmium,['hydrate]']
ACOLOV,"catena-[(mu!10$-bis(2,2,2-tris((4-Carboxylatophenoxy)methyl)ethyl) ether)-diaqua-bis(N,N-dimethylformamide-O)-tri-cadmium(ii) N,N-dimethylformamide solvate]","u1-bis(2,2,2-tris((4-Carboxylatephenoxy)methyl)ethyl)ether)-diaqua-bis(N,N-dimethylformamide-",,,,,,,,iron,"['N,N-dimethylformamide', 'solvate]']"
ACOVEU,catena-((mu!4$-L-Tartrato)-cobalt(ii)),L-Tartrate,,,,,,,,copper,[]
ACOXEV,catena-(tetrakis(mu!4$-glutarato)-bis(mu!4$-oxalato)-diaqua-tetra-terbium),glutarate,oxalate,,,,,,,manganese,[]
ACOYAU,"catena-[bis(mu!4$-3-Carboxy-5-(4H-1,2,4-triazol-4-yl)benzoato)-tetrakis(mu!3$-oxo)-pentakis(mu!2$-oxo)-tetra-oxo-di-copper(ii)-tetra-molybdenum(vi) dihydrate]","3-Carboxy-5-(4H-1,2,4-triazol-4-yl)benzoate",oxo,oxo)-tetra-oxo-di-(i,,,,,,cadmium,['dihydrate]']
ACOZAW,"catena-[bis(1$2!,2$2!:2$6!,3$2!-terpyridine)-nickel(ii) heptakis(mu-cyano)-(mu-thiocyanato)-hexa-copper(i)]",,,,,,,,,cobalt,['heptakis(mu-cyano)-(mu-thiocyanato)-hexa-copper(i)]']
ACRNCU,catena-(bis(mu!3$-chloro)-(mu!2$-eta$2!-acrylonitrile)-di-copper(i)),chloro,et2-acrylonitrile,,,,,,,terbium,[]
ACUBOP,catena-((mu!3$-nicotinato)-(mu!2$-nictotinato)-cadmium(ii)),nicoate,nictoate,,,,,,,copper,[]
ACUBOP01,catena-((mu!3$-Nicotinato)-(mu!2$-nicotinato)-cadmium),Nicoate,nicoate,,,,,,,molybdenum,[]
ACUFEK,"catena-[octakis(mu!6$-4,4',4''-s-Triazine-2,4,6-triyltribenzoato)-dodecaaqua-dodeca-copper dodecakis(dimethylsulfoxide) hydrate clathrate]","4,4',4''-s-Triazine-2,4,6-triyltribenzoate",,,,,,,,nickel,"['dodecakis(dimethylsulfoxide)', 'hydrate', 'clathrate]']"
ACUFOV,catena-[bis(mu!7$-3-sulfonato-L-alaninato)-di-sodium-zinc],3-sulfonate-L-alaninate,,,,,,,,copper,[]
ACUPEW,"catena-[bis(mu-aqua)-bis(mu-3,5-dimethylpyrazolato-4-sulfonato)-di-copper(i)-di-sodium]",aqua,"3,5-dimethylpyrazolate-4-sulfonate)-di-(",,,,,,,cadmium,[]
ACUREY,"catena-[(mu-5-(4-(4,2':6',4''-terpyridin-4'-yl)phenoxy)isophthalato)-aqua-nickel N,N-dimethylformamide solvate hydrate]","5-(4-(4,2':6',4''-terpyridin-4'-yl)phenoxy)isophthalate",,,,,,,,tin,"['N,N-dimethylformamide', 'solvate', 'hydrate]']"
ACURUO,"catena-[bis(mu-2-methoxy-6-[(2-{4-[(pyridine-4-carbonyl)amino]benzoyl}hydrazinylidene)methyl]phenolato)-tris(mu-terephthalato)-bis(N,N-dimethylacetamide)-tetra-cadmium tetrahydrate]",2-methoxy-6-[(2-{4-[(pyridine-4-carbonyl)amino]benzoyl}hydrazinylidene)methyl]phenolate,"terephthalate)-bis(N,N-dimethylacetamid",,,,,,,cadmium,['tetrahydrate]']
ACUSEZ,"catena-[bis(mu-benzo[1,2-b:4,5-b']bisthiophene-2,6-dicarboxylato)-bis(mu-1,1'-(butane-1,4-diyl)bis(1H-imidazole))-di-zinc tetrahydrate]","benzo[1,2-b:4,5-b']bisthiophene-2,6-dicarboxylate","1,1'-(butane-1,4-diyl)bis(1H-imidazole)",,,,,,,tin,['tetrahydrate]']
ACUTOI,"catena-(bis(mu!7$-2-Sulfonylterephthalato)-(mu!2$-1,4-diazabicyclo(2.2.2)octane)-diaqua-di-cadmium(ii)-di-sodium(i) tetrahydrate)",2-Sulfonylterephthalate,"1,4-diazabicyclo(2.2.2)octane)-diaqua-di-(i",,,,,,,copper,['tetrahydrate)']
ACUWIH,"catena-[bis(mu-azido)-(mu-1,1'-bis(3,5-dicarboxylatobenzyl)-4,4'-bipyridinium)-diaqua-di-manganese(ii) trihydrate]",azido,"1,1'-bis(3,5-dicarboxylatebenzyl)-4,4'-bipyridiniu",,,,,,,sodium,['trihydrate]']
ACUXAY,"catena-(bis(mu!4$-4,5-imidazoledicarboxylato)-tetra-aqua-tri-manganese)","4,5-imidazoledicarboxylate",,,,,,,,zinc,[]
ACUXAY01,"catena-(bis(mu-4,5-dicarboxylatoimidazolato)-tetra-aqua-tri-manganese)","4,5-dicarboxylateimidazolate",,,,,,,,sodium,[]
ACUXUU,"catena-[(mu-4,4',4'',4'''-(ethene-1,1,2,2-tetrayl)tetrabenzoato)-tetra-aqua-tetra-silver(i) unknown solvate]","4,4',4'',4'''-(ethene-1,1,2,2-tetrayl)tetrabenzoate",,,,,,,,copper,"['unknown', 'solvate]']"
ADABAK,"catena-(bis(mu!3$-tetrazole-5-carboxylato)-(mu!2$-4,4'-propane-1,3-diyldipyridine)-di-copper)",tetrazole-5-carboxylate,"4,4'-propane-1,3-diyldipyridine",,,,,,,nickel,[]
ADAQAA,"catena-[(mu-2,2',7,7'-tetrakis(4-carboxylatophenyl)-9,9'-Spirobi[fluorene])-tetrakis(mu-oxo)-tetra-aqua-tri-zirconium(iv)]","2,2',7,7'-tetrakis(4-carboxylatephenyl)-9,9'-Spirobi[fluorene",oxo,,,,,,,cadmium,[]
ADARAA,"catena-(hexakis((mu!7$-5,15-bis(3,5-dicarboxyphenyl)-10,20-bis(2,6-dibromophenyl)porphyrinato)-(mu!2$-aqua))-tetrapentaconta-aqua-octadeca-cobalt ethanol dimethylformamide solvate)","5,15-bis(3,5-dicarboxyphenyl)-10,20-bis(2,6-dibromophenyl)porphyrinat",aqua),,,,,,,zinc,"['ethanol', 'dimethylformamide', 'solvate)']"
ADAXEK,"catena-(bis(mu!4$-terephthalato)-(mu!4$-4,4'-bipyridine 1,1'-dioxide)-di-cobalt(ii) terephthalic acid methanol solvate)",terephthalate,"4,4'-bipyridine1,1'-dioxide",,,,,,,sodium,"['terephthalic', 'acid', 'methanol', 'solvate)']"
ADECEU,"catena-[bis(mu-4-(3-(pyridin-4-yloxy)-2,2-bis((pyridin-4-yloxy)methyl)propoxy)pyridine)-tetrakis(mu-naphthalene-2,6-dicarboxylato)-tetra-zinc(ii) hydrate]","4-(3-(pyridin-4-yloxy)-2,2-bis((pyridin-4-yloxy)methyl)propoxy)pyridin","naphthalene-2,6-dicarboxylate",,,,,,,cadmium,['hydrate]']
ADEGEY,"catena-[tetrakis(dimethylammonium) bis(mu-triphenylene-2,6,10-tricarboxylato)-dichloro-di-cadmium(ii) N,N-dimethylformamide 1,4-dioxane solvate hexahydrate]","triphenylene-2,6,10-tricarboxylate",,,,,,,,manganese,"['N,N-dimethylformamide', '1,4-dioxane', 'solvate', 'hexahydrate]']"
ADEGIA,"catena-((mu!4$-Benzene-1,4-dicarboxylato)-bis(mu!2$-benzene-1,4-dicarboxylato)-diaqua-bis(N,N-dimethylformamide)-di-gadolinium(iii))","Benzene-1,4-dicarboxylate","benzene-1,4-dicarboxylate)-diaqua-bis(N,N-dimethylformamid",,,,,,,manganese,[]
ADEGIA01,"catena-[tris(mu-terephthalato)-diaqua-bis(N,N-dimethylformamide)-di-gadolinium]","terephthalate)-diaqua-bis(N,N-dimethylformamid",,,,,,,,manganese,[]
ADEPEH,"catena-(bis(mu-cyclohexane-1,4-dicarboxylato)-(mu-1,1'-(1,4-phenylene)bis(1H-imidazole))-di-zinc)","cyclohexane-1,4-dicarboxylate","1,1'-(1,4-phenylene)bis(1H-imidazole)",,,,,,,silver,[]
ADEZOB,catena-[hexakis(mu-pyridine-4-carboxylato)-hexakis(mu-iodo)-(pyridine-4-carboxylato)-hepta-copper-di-praseodymium(iii) monohydrate],pyridine-4-carboxylate,iodo)-(pyridine-4-carboxylat,,,,,,,copper,['monohydrate]']
ADEZUH,catena-[bis(mu-(tetrazoldiyl)acetato)-bis(mu-hydroxo)-diaqua-tri-zinc(ii)],(tetrazoldiyl)acetate,hydroxo,,,,,,,zirconium,[]
ADINCU,catena(bis(Adiponitrile)-copper(i) nitrate),,,,,,,,,cobalt,['nitrate)']
ADIPUA,catena-(bis(mu!3$-2-(pyridin-4-yl)malonaldehydato)-copper(ii) methanol solvate),2-(pyridin-4-yl)malonaldehydate,,,,,,,,cobalt,"['methanol', 'solvate)']"
ADOBAX,"catena-(icosakis(mu!3$-oxo)-tetrakis(mu!2$-4,4'-bipyridine)-hexakis(mu!2$-oxo)-dodecaoxo-di-manganese-hepta-vanadium(iv)-nona-vanadium(v) chloride 4,4'-bipyridine hydrate)",oxo,"4,4'-bipyridine",oxo)-dodecaoxo-di--hepta-(i,,,,,,zinc,"['chloride', ""4,4'-bipyridine"", 'hydrate)']"
ADODAA,catena-(hydroxonium tris(mu!3$-pyrazole-4-carboxylato)-(mu!3$-hydroxo)-tri-copper(ii) ethanol solvate tetrahydrate),pyrazole-4-carboxylate,hydroxo,,,,,,,cadmium,"['ethanol', 'solvate', 'tetrahydrate)']"
ADODII,"catena-((mu!10$-1,7-bis(4-carboxylatophenoxy)-2,2,6,6-tetrakis((4-carboxylatophenoxy)methyl)-4-oxaheptane)-di-lanthanum N,N-dimethylformamide solvate)","u1-1,7-bis(4-carboxylatephenoxy)-2,2,6,6-tetrakis((4-carboxylatephenoxy)methyl)-4-oxahepta",,,,,,,,gadolinium,"['N,N-dimethylformamide', 'solvate)']"
ADODOP,catena-[octakis(mu-carbonato)-pentakis(mu-fluoro)-nona-cesium-hexa-magnesium],carbonate,fluoro,,,,,,,gadolinium,[]
ADOLOV,"catena-((mu!3$-Benzene-1,3,5-tricarboxylato)-(mu!3$-5-carboxybenzene-1,3-dicarboxylato)-(mu!3$-3,5-dicarboxybenzoato)-tris(mu!2$-4,4'-bipyridine)-tri-nickel(ii) N,N-dimethylformamide solvate)","Benzene-1,3,5-tricarboxylate","5-carboxybenzene-1,3-dicarboxylate","3,5-dicarboxybenzoate","4,4'-bipyridine",,,,,zinc,"['N,N-dimethylformamide', 'solvate)']"
ADONIT,"catena-[(mu-4,4'-carbonyldibenzoato)-(mu-5,5'-(1,4-phenylene)di(1H-imidazole))-zinc(ii)]","4,4'-carbonyldibenzoate","5,5'-(1,4-phenylene)di(1H-imidazole)",,,,,,,copper,[]
ADOXUP,"catena-[(mu-4-hydroxy-5-oxidobenzene-1,3-disulfonato)-aqua-lanthanum(iii) monohydrate]","4-hydroxy-5-oxidobenzene-1,3-disulfonate",,,,,,,,praseodymium,['monohydrate]']
ADUFOX,"catena-(bis(mu-hydroxo)-bis(mu-1H-pyrazole-3,5-dicarboxylato)-tri-manganese)",hydroxo,"1H-pyrazole-3,5-dicarboxylate",,,,,,,zinc,[]
ADUJER,"catena-[(mu-1,3,6,8-tetra(1H-pyrazol-4-yl)-9H-carbazole)-dichoro-nickel(ii) unknown solvate]","1,3,6,8-tetra(1H-pyrazol-4-yl)-9H-carbazol",,,,,,,,copper,"['unknown', 'solvate]']"
ADUVIH,catena-[(mu-2-(hydroxyimino)-N-[1-(pyrazin-2-yl)ethylidene]propanehydrazonato)-(mu-2-(oxidoimino)-N-[1-(pyrazin-2-yl)ethylidene]propanehydrazonato)-tris(mu-acetato)-bis(acetato)-di-dysprosium-nickel unknown solvate],2-(hydroxyimino)-N-[1-(pyrazin-2-yl)ethylidene]propanehydrazonat,2-(oxidoimino)-N-[1-(pyrazin-2-yl)ethylidene]propanehydrazonat,acetate)-bis(acetat,,,,,,copper,"['unknown', 'solvate]']"
ADUWIH,"catena-[(mu!12$-3,3',3'',3''',3'''',3'''''-(Benzene-1,2,3,4,5,6-hexaylhexakis(methyleneoxy))hexabenzoato)-diaqua-tri-zinc(ii) N,N-dimethylformamide solvate heptahydrate]","u1-3,3',3'',3''',3'''',3'''''-(Benzene-1,2,3,4,5,6-hexaylhexakis",,,,,,,,vanadium,"['N,N-dimethylformamide', 'solvate', 'heptahydrate]']"
AFAFAR,"catena-[(mu-5-[(3-carboxy-5-carboxylatophenyl)diazenyl]benzene-1,3-dicarboxylato)-dysprosium hydrate]","5-[(3-carboxy-5-carboxylatephenyl)diazenyl]benzene-1,3-dicarboxylate",,,,,,,,manganese,['hydrate]']
AFECIY,"catena-[bis(mu!5$-4,4'-Oxydibenzene-1,2-carboxylato)-bis(mu!2$-4,4'-bipyridine)-diaqua-tetra-zinc(ii) 4,4'-bipyridine clathrate]","4,4'-Oxydibenzene-1,2-carboxylate","4,4'-bipyridine",,,,,,,copper,"[""4,4'-bipyridine"", 'clathrate]']"
AFECIY01,"catena-(bis(mu!5$-Oxybis(benzene-3,3',4,4'-tetracarboxylato))-bis(mu!2$-4,4'-bipyridine)-diaqua-tetra-zinc(ii) 4,4'-bipyridine solvate)","Oxybis(benzene-3,3',4,4'-tetracarboxylate)","4,4'-bipyridine",,,,,,,lanthanum,"[""4,4'-bipyridine"", 'solvate)']"
AFEDIA,catena-[tetrakis[mu!3$-5-(pyridine-4-chiarboxamido)isophthalato]-[tetraaqua-nickel(ii)-di-terbium(iii)] tetrahydrate],,,,,,,,,magnesium,['tetrahydrate]']
AFEFAU,"catena-[[diaqua-tris(mu!2$-4,4'-bipyridine)bis[mu!2$-2-(carboxylatomethylsulfanyl)nicotinato]-di-cobalt(ii)] hydrate]","4,4'-bipyridine)bis[m2-(carboxylatemethylsulfanyl)nicoate]-di-(ii)]",,,,,,,,nickel,['hydrate]']
AFENOQ,catena-(bis(5-((2-Methyl-1H-imidazol-1-yl)methyl)isophthalato)-aqua-cobalt),,,,,,,,,zinc,[]
AFENOQ01,catena-[(mu-5-((2-methyl-1H-imidazol-1-yl)methyl)isophthalato)-aqua-cobalt],5-((2-methyl-1H-imidazol-1-yl)methyl)isophthalate,,,,,,,,lanthanum,[]
AFENUX,"catena-[(mu-2,3-dihydroxybutanedioato)-(mu-2,3-dioxybutanedioato)-(mu-4,4'-(ethane-1,2-diyl)dipyridine)-(mu-aqua)-tri-copper(ii) trihydrate]","2,3-dihydroxybutanedioate","2,3-dioxybutanedioate","4,4'-(ethane-1,2-diyl)dipyridine",aqua,,,,,manganese,['trihydrate]']
AFIDEZ,catena-((mu!8$-2-Hydroxyphosphonoacetato)-iron(ii)-sodium),2-Hydroxyphosphonoacetate)-(i,,,,,,,,nickel,[]
AFIDEZ01,catena-((mu!8$-2-Hydroxy(phosphono)acetato)-iron(ii)-sodium),2-Hydroxy(phosphono)acetate)-(i,,,,,,,,nickel,[]
AFIPAH,catena-(bis(mu!4$-Fumarato)-(mu!2$-oxalato)-tetra-aqua-di-lanthanum(iii) tetrahydrate),Fumarate,oxalate,,,,,,,dysprosium,['tetrahydrate)']
AFIPAH01,catena-[bis(mu-fumarato)-(mu-oxalato)-tetra-aqua-di-lanthanum(iii) tetrahydrate],fumarate,oxalate,,,,,,,zinc,['tetrahydrate]']
AFIPUB,"catena-((mu!3$-Squarato-O,O',O'')-(mu!2$-aqua)-aqua-cadmium(ii))","Squarate-O,O',O''",aqua,,,,,,,dysprosium,[]
AFIRIT,"catena-[(mu-1,1'-(butane-1,4-diyl)di(1H-imidazole))-bis(mu-2-(4-carboxylatobenzoyl)benzoato)-di-cadmium(ii)]","1,1'-(butane-1,4-diyl)di(1H-imidazole)",2-(4-carboxylatebenzoyl)benzoate,,,,,,,zinc,[]
AFITEP,"catena-[(mu!2$-4,4'-Bipyridine-N,N')-(mu!2$-4,4'-ethyne-1,2-diyldibenzoato-O,O')-zinc dimethylformamide solvate]","4,4'-Bipyridine-N,N'","4,4'-ethyne-1,2-diyldibenzoate-O,O'",,,,,,,zinc,"['dimethylformamide', 'solvate]']"
AFIXAO,"catena-(decakis(mu!2$-imidazol-1,3-diyl)-penta-cobalt 3-methylbutanol solvate)","imidazol-1,3-diyl",,,,,,,,nickel,"['3-methylbutanol', 'solvate)']"
AFOJEK,"catena-[(mu-benzene-1,2,4,5-tetracarboxylato)-(mu-2,5-dicarboxyterephthalato)-diaqua-di-neodymium]","benzene-1,2,4,5-tetracarboxylate","2,5-dicarboxyterephthalate",,,,,,,terbium,[]
AFOJEK01,"catena-[(mu-benzene-1,2,4,5-tetracarboxylato)-(mu-2,5-dicarboxyterephthalato)-diaqua-di-neodymium]","benzene-1,2,4,5-tetracarboxylate","2,5-dicarboxyterephthalate",,,,,,,cobalt,[]
AFOQOC,"catena-[bis(mu!3$-5-Carboxybenzene-1,3-dicarboxylato-O,O',O'',O''')-bis(mu!3$-5-carboxybenzene-1,3-dicarboxylato-O,O',O'')-bis(mu!3$-1,2,4-triazol-4-yl)-tetraaqua-penta-zinc(ii)]","5-Carboxybenzene-1,3-dicarboxylate-O,O',O'',O'''","5-carboxybenzene-1,3-dicarboxylate-O,O',O''","1,2,4-triazol-4-yl",,,,,,tin,[]
AFOQOC01,"catena-(bis(mu!3$-5-Carboxybenzene-1,3-dicarboxylato-O,O',O'',O''')-bis(mu!3$-5-carboxybenzene-1,3-dicarboxylato-O,O',O'')-bis(mu!3$-1,2,4-triazolato-N,N',N'')-tetraaqua-penta-zinc(ii))","5-Carboxybenzene-1,3-dicarboxylate-O,O',O'',O'''","5-carboxybenzene-1,3-dicarboxylate-O,O',O''","1,2,4-triazolate-N,N',N''",,,,,,cobalt,[]
AFOQOC02,"catena-[bis(mu!3$-5-Carboxybenzene-1,3-dicarboxylato-O,O',O'',O''')-bis(mu!3$-5-carboxybenzene-1,3-dicarboxylato-O,O',O'')-bis(mu!3$-1,2,4-triazol-4-yl)-tetra-aqua-penta-zinc(ii)]","5-Carboxybenzene-1,3-dicarboxylate-O,O',O'',O'''","5-carboxybenzene-1,3-dicarboxylate-O,O',O''","1,2,4-triazol-4-yl",,,,,,cobalt,[]
AFORCD,"catena(Tetra-aqua-tetrakis(mu!2$-formato-O,O')-di-cadmium(ii))","formate-O,O'",,,,,,,,copper,[]
AFOTOF,"catena-[bis(mu!4$-4,4'-Biphenyldicarboxylato-O,O,O',O'',O''')-(mu!4$-4,4'-biphenyldicarboxylato-O,O',O'',O''')-bis(formic acid)-di-europium(iii) unknown solvate]","4,4'-Biphenyldicarboxylate-O,O,O',O'',O'''","4,4'-biphenyldicarboxylate-O,O',O'',O'''",,,,,,,sodium,"['acid)-di-europium(iii)', 'unknown', 'solvate]']"
AFOWOK,"catena-[bis(mu-4,4'-([(carboxylatomethyl)azanediyl]bis{(ethane-2,1-diyl)[(carboxylatomethyl)azanediyl]methylene})dibenzoato)-diaqua-penta-cadmium(ii) N,N-dimethylformamide solvate octahydrate]","4,4'-([(carboxylatemethyl)azanediyl]bis{(ethane-2,1-diyl)[(carboxylatemethyl)azanediyl]methylene})dibenzoate",,,,,,,,iron,"['N,N-dimethylformamide', 'solvate', 'octahydrate]']"
AFOXAX,"catena-[tetrakis(oxonium) tris(mu-perylene-3,4,9,10-tetracarboxylato)-octa-potassium trihydrate]","perylene-3,4,9,10-tetracarboxylate",,,,,,,,sodium,['trihydrate]']
AFUDIR,"catena-((mu-1,1':4',1''-terphenyl-3,5,4''-tricarboxylato)-aqua-dimethylformamide-dysprosium(iii) unknown solvate)","1,1':4',1''-terphenyl-3,5,4''-tricarboxylate",,,,,,,,iron,"['unknown', 'solvate)']"
AFUVUV,"catena-[tris(mu-benzene-1,3,5-tricarboxylato)-hexakis(1H-benzimidazole)-tetra-cobalt unknown solvate]","benzene-1,3,5-tricarboxylate)-hexakis(1H-benzimidazol",,,,,,,,lanthanum,"['unknown', 'solvate]']"
AGABIU,"catena-(Penta-lithium tris(mu!4$-N,N'-(1,3-phenylene)-bis(oxamato))-hexaaqua-tri-lithium(i)-di-nickel(ii) hydrate)","N,N'-(1,3-phenylene)-bis(oxamate))-hexaaqua-tri-",,,,,,,,lanthanum,['hydrate)']
AGADUK,"catena-[(mu-(hexane-1,6-diylbis{[(phosphonomethyl)azanediyl]methylene})bis[hydrogen (phosphonato)])-di-lithium]","(hexane-1,6-diylbis{[(phosphonomethyl)azanediyl]methylene})bis[hydrogen",,,,,,,,cadmium,['(phosphonato)])-di-lithium]']
AGARUW,"catena-(bis(mu!4$-Pyrazole-3,5-dicarboxylato-N,O,O,O',O'',O''')-(mu!4$-carbonato-O,O,O',O',O'',O'')-diaqua-di-lanthanum heptahydrate)","Pyrazole-3,5-dicarboxylate-N,O,O,O',O'',O'''","carbonate-O,O,O',O',O'',O''",,,,,,,cadmium,['heptahydrate)']
AGDCNM,catena-(tetrakis((mu!3$-dicyanonitromethanide)-silver(i))),dicyanonitromethanide,,,,,,,,zinc,[]
AGEDIC,catena-[(mu-but-2-enedioato)-(mu-hydroxo)-gallium tetrahydrate],but-2-enedioate,hydroxo,,,,,,,cobalt,['tetrahydrate]']
AGEGOL,catena-[(mu-squarato)-diaqua-calcium(ii) monohydrate],squarate,,,,,,,,neodymium,['monohydrate]']
AGEGUR,"catena-[tris(mu-anthracene-9,10-dicarboxylato)-tetrakis(N,N-dimethylformamide)-di-terbium(iii) unknown solvate]","anthracene-9,10-dicarboxylate)-tetrakis(N,N-dimethylformamid",,,,,,,,neodymium,"['unknown', 'solvate]']"
AGESIP,"catena-[bis(mu!6$-Squarato-O,O,O',O'',O'',O''')-bis(mu!3$-hydroxo)-tri-copper(ii) tetrahydrate]","Squarate-O,O,O',O'',O'',O'''",hydroxo,,,,,,,zinc,['tetrahydrate]']
AGEWOB,catena-(tetrakis(guanidinium) hexakis(mu-formato)-hexakis(mu-hypophosphito)-tetra-manganese(ii)),formate,hypophosphito,,,,,,,zinc,[]
AGIMIO,catena-[(mu!4$-5-Aminotetrazolyl)-(mu!4$-isophthalato)-(mu!3$-5-aminotetrazolyl)-aqua-di-manganese(ii) ethanol solvate],5-Aminotetrazolyl,isophthalate,5-aminotetrazolyl,,,,,,zinc,"['ethanol', 'solvate]']"
AGOGOU,"catena-[(mu!2$- 4H-1,2,4-Triazole)-pentakis(mu!2$-fluoro)-di-iron]","4H-1,2,4-Triazole",fluoro,,,,,,,cadmium,[]
