code,raw linkers,Linker 1,Linker 2,Linker 3,Linker 4,Linker 5,Linker 6,Linker 7,Linker 8,metals,solvents
BAXLEU,"catena-(bis((mu-1,1'-(2,5-dimethyl-1,4-phenylene)bis(1H-imidazole))-copper) bis(mu-1,1'-(2,5-dimethyl-1,4-phenylene)bis(1H-imidazole))-tetradecakis(mu-oxo)-bis(mu-1,1'-(2,5-dimethyl-1,4-phenylene)bis(1H-imidazole))-copper-octa-molybdenum)","1,1'-(2,5-dimethyl-1,4-phenylene)bis(1H-imidazole)","1,1'-(2,5-dimethyl-1,4-phenylene)bis(1H-imidazole)",oxo,"1,1'-(2,5-dimethyl-1,4-phenylene)bis(1H-imidazole)",,,,,tin,[]
BAXLOD,"catena-((mu!3$-1,3-thiazolidine-2,4-dicarboxylato)-aqua-nickel hemihydrate)","1,3-thiazolidine-2,4-dicarboxylate",,,,,,,,copper,['hemihydrate)']
BAXREY,"catena-(hexakis(mu!2$-2-(bis(2-Hydroxyethyl)amino)ethanolato-N,O,O,O',O'')-tetrakis(mu!2$-2-(bis(2-hydroxyethyl)amino)ethanolato-N,O,O,O')-decakis(mu!2$-cyano-C,N)-tetradecacyano-deca-copper(ii)-tri-tungsten(iv,v) pentahydrate)","2-(bis(2-Hydroxyethyl)amino)ethanolate-N,O,O,O',O''","2-(bis(2-hydroxyethyl)amino)ethanolate-N,O,O,O'","cyano-C,N)-tetradecacyano-deca-(i",,,,,,tin,['pentahydrate)']
BAXSIE,"catena-[bis(mu!6$-3,5-Dicarboxylatopyrazolato)-bis(mu!3$-hydroxo)-diaqua-tetra-magnesium(ii) dihydrate]","3,5-Dicarboxylatepyrazolate",hydroxo,,,,,,,copper,['dihydrate]']
BAXTUS,"catena-(hexakis(mu!5$-5-Aminoisophthalato)-bis(mu!4$-5-aminoisophthalato)-tetrakis(mu!3$-hydroxo)-(mu!2$-4,4'-bipyridine-N,N')-diaqua-deca-cobalt(ii) unknown solvate)",5-Aminoisophthalate,5-aminoisophthalate,hydroxo,"4,4'-bipyridine-N,N'",,,,,tin,"['unknown', 'solvate)']"
BAYCOU,"catena-(bis(mu!4$-Hexamethylenetetraamine)-(mu!2$-5-sulfosalicylato-O,O')-aqua-tri-silver(i) nitrate trihydrate)",Hexamethylenetetraamine,"5-sulfosalicylate-O,O'",,,,,,,copper,"['nitrate', 'trihydrate)']"
BAYMOE,catena-(bis(mu!4$-eta$4!-Benzoquinone)-(mu!3$-eta$4!-benzoquinone)-(mu!2$-acetato)-di-copper-tri-manganese methanol solvate),et4-Benzoquinone,et4-benzoquinone,acetate,,,,,,rubidium,"['methanol', 'solvate)']"
BAYQAU01,"catena-(bis(mu!2$-Imidazolato-N,N')-cadmium(ii))","Imidazolate-N,N'",,,,,,,,cadmium,[]
BAYQAU03,catena-(bis(mu!2$-Imidazolato)-cadmium),Imidazolate,,,,,,,,cobalt,[]
BAYQOK,"catena-(bis(mu-terephthalato)-(mu-3,6-bis(4-pyridyl)-1,2,4,5-tetrazine)-di-zinc(ii) dimethylformamide solvate trihydrate)",terephthalate,"3,6-bis(4-pyridyl)-1,2,4,5-tetrazin",,,,,,,cobalt,"['dimethylformamide', 'solvate', 'trihydrate)']"
BAZBIO,"catena-(bis(mu!4$-2,6-napthalenedicarboxylato)-(mu!2$-4,4'-bipyridyl)-di-nickel tetrakis(mu!4$-2,6-napthalenedicarboxylato)-bis(mu!2$-4,4'-bipyridyl)-tetra-nickel)","2,6-napthalenedicarboxylate","4,4'-bipyridyl","2,6-napthalenedicarboxylate","4,4'-bipyridyl",,,,,manganese,[]
BAZBIO01,"catena-(tetrakis(mu!4$-2,6-naphthalenedicarboxylato)-bis(mu!2$-4,4'-bipyridine)-tetra-nickel(ii) bis(mu!4$-2,6-naphthalenedicarboxylato)-(mu!2$-4,4'-bipyridine)-di-nickel(ii))","2,6-naphthalenedicarboxylate","4,4'-bipyridine",,,,,,,lead,"[""bis(mu!-2,6-naphthalenedicarboxylato)-(mu!-4,4'-bipyridine)-di-nickel(ii))""]"
BAZCOW,"catena-((2,2'-(2,5,8,11-Tetraazadodeca-1,11-diene-1,12-diyl)bis(4-chlorophenolato))-indium tris(mu!2$-oxalato)-chromium-manganese)",,,,,,,,,copper,['tris(mu!-oxalato)-chromium-manganese)']
BAZFUF,"catena-(tetrakis(mu!6$-1,3,5-tris(4-carboxylatophenyl)benzene)-hexa-aqua-hexa-copper unknown solvate)","1,3,5-tris(4-carboxylatephenyl)benzene",,,,,,,,molybdenum,"['unknown', 'solvate)']"
BAZFUF01,"catena-(tetrakis(mu!6$-benzene-1,3,5-tribenzoato)-hexaaqua-hexa-copper)","benzene-1,3,5-tribenzoate",,,,,,,,molybdenum,[]
BAZJET,"catena-[bis(mu!4$-5-(6-(1H-Tetrazol-5-yl)naphthalen-2-yl)tetrazolyl)-(mu!4$-5,5'-naphthalene-2,6-diylbis(tetrazolyl))-(mu!3$-oxo)-tris(N,N-dimethylformamide-O)-tri-manganese(ii) N,N-dimethylformamide solvate pentadecahydrate]",5-(6-(1H-Tetrazol-5-yl)naphthalen-2-yl)tetrazolyl,"5,5'-naphthalene-2,6-diylbis(tetrazolyl)","oxo)-tris(N,N-dimethylformamide-",,,,,,molybdenum,"['N,N-dimethylformamide', 'solvate', 'pentadecahydrate]']"
BAZTUU,"catena-[bis(mu-2,2'-((1,2-diphenylethane-1,2-diyl)bis(azanylylidenemethylylidene))bis(6-t-butyl-4-(pyridin-4-yl)phenolato))-tetrakis(mu-iodo)-tetra-copper-di-nickel acetontirile dimethylformamide solvate]","2,2'-((1,2-diphenylethane-1,2-diyl)bis(azanylylidenemethylylidene))bis(6-t-butyl-4-(pyridin-4-yl)phenolate)",iodo,,,,,,,barium,"['acetontirile', 'dimethylformamide', 'solvate]']"
BAZVIK,"catena-[(mu-tetrahydrogen benzene-1,3,5-triphosphonato)-aqua-barium]","tetrahydrogenbenzene-1,3,5-triphosphonate",,,,,,,,barium,[]
BEBFIY,"catena-((mu!6$-Hydrogen benzene-1,4-dicarboxylato)-sodium(i))","Hydrogenbenzene-1,4-dicarboxylate",,,,,,,,nickel,[]
BEBWOX,"catena-[(mu-4,6-bis(2-methyl-1H-imidazol-1-yl)pyrimidine)-bis(mu-naphthalene-1,4-dicarboxylato)-di-cobalt(ii) unknown solvate]","4,6-bis(2-methyl-1H-imidazol-1-yl)pyrimidine","naphthalene-1,4-dicarboxylate",,,,,,,copper,"['unknown', 'solvate]']"
BECBAP,"catena-(bis(mu-1,1'-(1,4-phenylene)bis(1H-imidazole))-bis(mu-phthalato)-di-cobalt)","1,1'-(1,4-phenylene)bis(1H-imidazole)",phthalate,,,,,,,copper,[]
BECRUX01,"catena-[(mu!4$-Butane-1,4-diylbis(hydrogen phosphonato))-zinc dihydrate]","Butane-1,4-diylbis(hydrogen",,,,,,,,cobalt,"['phosphonato))-zinc', 'dihydrate]']"
BECRUX02,"catena-((mu!4$-Dihydrogen 1,4-butylenediphosphonato-O,O',O'',O''')-zinc(ii) dihydrate)","Dihydrogen1,4-butylenediphosphonate-O,O',O'',O'''",,,,,,,,gadolinium,['dihydrate)']
BECSEK,"catena-[bis(mu-5-carboxyisophthalato)-aqua-(4,4'-[naphthalene-1,4-diyldi(ethene-2,1-diyl)]dipyridine)-di-zinc]","5-carboxyisophthalate)-aqua-(4,4'-[naphthalene-1,4-diyldi(ethene-2,1-diyl)]dipyridin",,,,,,,,manganese,[]
BEDHOJ,catena-[bis(mu!2$-1H-Benzimidazole-6-carboxylato)-nickel ethanol solvate monohydrate],1H-Benzimidazole-6-carboxylate,,,,,,,,cadmium,"['ethanol', 'solvate', 'monohydrate]']"
BEDJOL,catena-((mu!6$-5-(4-carboxybenzyloxy)isophthalato)-(mu!2$-aquo)-barium(ii)),5-(4-carboxybenzyloxy)isophthalate,aquo,,,,,,,nickel,[]
BEDKAY,"catena-((mu!2$-Cyano)-(mu!4$-3,3'-(1H-pyrazole-3,5-diyl)dipyridine)-di-copper)",Cyano,"3,3'-(1H-pyrazole-3,5-diyl)dipyridine",,,,,,,manganese,[]
BEDQUZ,"catena-[(mu-4'-(1H-pyrazol-5-yl)biphenyl-3,5-dicarboxylato)-aqua-cadmium(ii) monohydrate]","4'-(1H-pyrazol-5-yl)biphenyl-3,5-dicarboxylate",,,,,,,,rhenium,['monohydrate]']
BEDTAI,"catena-[tris(mu-terephthalato)-(mu-3,3',5,5'-tetramethyl-1H,1'H-4,4'-bipyrazole)-tri-cobalt(ii) N,N-dimethylformamide unknown solvate]",terephthalate,"3,3',5,5'-tetramethyl-1H,1'H-4,4'-bipyrazole",,,,,,,potassium,"['N,N-dimethylformamide', 'unknown', 'solvate]']"
BEDWAK,catena-[tetrakis(mu!2$-Cyano)-(mu!2$-bis(4-pyridylthio)methane)-iron(ii)-platinum(ii) bis(4-pyridylthio)methane ethanol solvate hydrate],Cyano,bis(4-pyridylthio)methane)-(i,,,,,,,plutonium,"['bis(4-pyridylthio)methane', 'ethanol', 'solvate', 'hydrate]']"
BEDWOZ,"catena-[tetrakis(mu-5-nitrobenzene-1,2,3-tricarboxylato)-hexakis(mu-1-(4-(1H-imidazol-1-yl)butyl)-1H-imidazole)-hexa-zinc(ii)]","5-nitrobenzene-1,2,3-tricarboxylate",1-(4-(1H-imidazol-1-yl)butyl)-1H-imidazol,,,,,,,manganese,[]
BEDYEQ,"catena-[(mu!9$-5,10,15,20-tetrakis(4-Carboxylatophenyl)porphyrinato)-tetrakis(mu!3$-hydroxo)-chloro-tetrahydroxy-iron-tri-zirconium unknown solvate]","5,10,15,20-tetrakis(4-Carboxylatephenyl)porphyrinate",hydroxo,,,,,,,silver,"['unknown', 'solvate]']"
BEFJOO,"catena-[bis(mu-biphenyl-4,4'-dicarboxylato)-(mu-4,4'-(anthracene-9,10-diyldi(ethyne-2,1-diyl))dipyridine)-di-zinc(ii) N,N-dimethylformamide solvate]","biphenyl-4,4'-dicarboxylate","4,4'-(anthracene-9,10-diyldi(ethyne-2,1-diyl))dipyridine",,,,,,,tungsten,"['N,N-dimethylformamide', 'solvate]']"
BEFJUS,"catena-((mu!4$-3,5-pyridinium-dicarboxylato)-(mu!2$-3,5-pyridinium-dicarboxylato)-pentakis(mu!2$-fluoro)-aqua-di-thorium nitrate)","3,5-pyridinium-dicarboxylate","3,5-pyridinium-dicarboxylate",fluoro,,,,,,thallium,['nitrate)']
BEFQIO,"catena-(bis(mu!3$-hydrogen [(2,2-dioxido-1,4,2-oxazaphosphinan-4-ium-4-yl)methyl]phosphonato)-bis(mu!2$-oxalato)-diaqua-di-cerium(iii) hexahydrate)","hydrogen[(2,2-dioxido-1,4,2-oxazaphosphinan-4-ium-4-yl)methyl]phosphonate",oxalate,,,,,,,manganese,['hexahydrate)']
BEGBOG,catena-(tris(mu!3$-acetato)-dimethyl-lead-sodium),acetate,,,,,,,,sodium,[]
